Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Facebook,LinkedIn,Phone Number,Contact Email,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Trend Score (90 Days),Similar Companies,Patents Granted,Trademarks Registered,Most Popular Patent Class,Most Popular Trademark Class
Marshmallow Games,https://www.crunchbase.com/organization/marshmallowgames,,"Apps, EdTech, Education, iOS, STEM Education","Bari, Puglia, Italy",Marshmallow Games develops educational apps that help kids learn in an engaging and enjoyable way.,"45,711","European Union (EU), Europe, Middle East, and Africa (EMEA)",70126,,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,https://www.marshmallow-games.com/,https://www.facebook.com/mathtales,https://www.linkedin.com/company/marshmallow-games/,,info@marshmallow-games.com,,,,,,,,,,,,"Apps, Education, Mobile, Platforms, Science and Engineering, Software",5,"Cristina Angelillo, Davide Angelillo, Francesco Capozzi, Marianna Pappalardi, Massimo Michetti",11-50,5,Early Stage Venture,2022-06-09,2000000,EUR,2123911,Series A,2000000,EUR,2123911,Series A,2300000,EUR,2464416,2415000,EUR,2609896,"CDP Venture Capital, Boost Heroes, Valore Assoluto, Mamacrowd",3,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,7,0,2,,Scientific and electric apparatus and instruments
Soource,https://www.crunchbase.com/organization/soource,,"Manufacturing, Software, Supply Chain Management","Bozen, Trentino-Alto Adige, Italy",AI-driven sourcing and negotiation for purchasing managers in a Saas business model.,"46,008","European Union (EU), Europe, Middle East, and Africa (EMEA)",39100,,,Active,2023-01-01,month,,,,,For Profit,https://soource.com/,,https://www.linkedin.com/company/soource/,,info@soource.com,,,,,,,,,,,,"Manufacturing, Software, Transportation",1,Maicol Verzotto,1-10,2,Seed,2025-01-21,1500000,EUR,1561043,Pre-Seed,1500000,EUR,1561043,Pre-Seed,1800000,EUR,1889558,1800000,EUR,1889558,"Vento, 360 Capital, B Heroes, Vesper Holding, Simon Fiduciaria",1,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.2,,0,1,,Advertising; business
Covision Media,https://www.crunchbase.com/organization/covision-media,,"3D Printing, 3D Technology, Digital Media","Brixen, Trentino-Alto Adige, Italy","Covision Media specializes in creating high-quality, relightable 3D models using their industrial 3D scanners.","46,603","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,Active,2020-01-01,year,,,,,For Profit,https://www.covisionmedia.ai,,https://www.linkedin.com/company/covision-media,+39 340 335 5506,hello@covisionmedia.ai,,,,,,,,,,,,"Hardware, Manufacturing, Media and Entertainment, Software",2,"Burkhard Güssefeld, Franz Tschimben",1-10,1,Seed,2025-03-31,5000000,EUR,5406873,Seed,5000000,EUR,5406873,Seed,5000000,EUR,5406873,5000000,EUR,5406873,"CDP Venture Capital, Redstone.VC, The Techshop, Utsav Somani, Alpine Venture Capital",1,12,,,,,,,,,,,,,,Private,,,,,,,,,,,,,9.9,,,,,
flywallet,https://www.crunchbase.com/organization/flywallet,,"Blockchain, FinTech, Travel, Web3","Delaware City, Delaware, United States",Web3 Save Now Buy Later for Travel,"46,993","Greater Philadelphia Area, East Coast, Southern US",,Women Founded,Less than $1M,Active,2018-11-28,day,,,,,For Profit,https://www.flywallet.io/,https://www.facebook.com/flywallet/,https://www.linkedin.com/company/flywallet/,,,,,,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Internet Services, Other, Travel and Tourism",4,"Alejandra Fernandez, Jake Negrit, Thomas Negrit, Yaniss Lassal",1-10,7,Seed,2023-01-24,20000,USD,20000,Grant,200000,USD,200000,Pre-Seed,256242,USD,256242,401242,USD,401242,"Flori Ventures, AWS Impact Accelerator, Open World Accelerator",2,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.2,10,,,,
MorphCast,https://www.crunchbase.com/organization/morphcast,,"Artificial Intelligence (AI), Information Technology, Internet, SaaS, Software","San Rafael, California, United States",World's Smallest & Greenest Facial Emotion AI Available for Free Minimal Environmental Impact Commitment to Privacy,"48,113","San Francisco Bay Area, West Coast, Western US",94901,,,Active,2024-05-14,day,,,,,For Profit,https://www.morphcast.com/,https://www.facebook.com/morphcast/,https://www.linkedin.com/company/morphcast/about/,,info@morphcast.com,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",5,"Alessandro Beltramin, Claudia Tomasi, Katia Sghinolfi, Lorenzo Linari, Stefano Bargagni",1-10,1,Seed,2024-07-17,750000,USD,750000,Pre-Seed,750000,USD,750000,Pre-Seed,750000,USD,750000,750000,USD,750000,,,,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,2.9,,,,,
Kurs Orbital,https://www.crunchbase.com/organization/kurs-orbital,,Aerospace,"Turin, Piemonte, Italy","Kurs Orbital enables satellite life extension and space debris removal missions, securing safe and sustainable orbits for generations.","48,615","European Union (EU), Europe, Middle East, and Africa (EMEA)",10129,,$1M to $10M,Active,1985-01-01,year,,,,,For Profit,http://kursorbital.com,https://www.facebook.com/kursorbital,https://www.linkedin.com/company/kurs-orbital,,contact@kursorbital.com,,,,,,,,,,,,Science and Engineering,,,11-50,2,Seed,2024-03-07,3700000,EUR,4051908,Seed,3700000,EUR,4051908,Seed,3700000,EUR,4051908,3700000,EUR,4051908,"Inovo.vc, OTB Ventures, Credo Ventures, IQT, Galaxia",2,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.7,,1,0,Aircraft; Aviation; Cosmonautics,
Divilo,https://www.crunchbase.com/organization/divilo,,"Financial Services, FinTech","Madrid, Madrid, Spain",Divilo is a B2B financial platform for companies and sole traders,"50,249","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,$1M to $10M,Active,2020-01-27,day,,,,,For Profit,https://www.divilo.io,https://www.facebook.com/SomosDiviloFintech,https://www.linkedin.com/company/divilo/mycompany/,,info@divilo.io,,,,,,,,,,,,Financial Services,1,Juan Guruceta,11-50,5,Early Stage Venture,2023-10-03,3000000,EUR,3140851,Series A,3000000,EUR,3140851,Series A,9275000,EUR,10430816,12275000,EUR,13571667,Hackquarters,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.3,3,,,,
Pack,https://www.crunchbase.com/organization/pack-9638,,"Education, Human Resources, Neuroscience, Software","Barcelona, Catalonia, Spain",HR-Tech platform to foster people growth with data-driven mentoring & coaching and increase employees' retention,"50,933","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,Active,2022-05-25,day,,,,,For Profit,https://thepack.tech,,https://www.linkedin.com/company/startup-pack-mentoring/mycompany/?viewAsMember=true,,,,,,,,,,,,,,"Administrative Services, Biotechnology, Education, Science and Engineering, Software",3,"Giacomo Gentili, Pietro Maria Picogna, Robert Timis",101-250,2,Seed,2024-05-19,600000,EUR,652350,Grant,550000,EUR,578187,Pre-Seed,550000,EUR,578187,1150000,EUR,1230537,"Techstars, Invitalia, Praxi",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2.8,8,,,,
Allelica,https://www.crunchbase.com/organization/allelica,,"Bioinformatics, Biotechnology, Genetics, Health Care, Information Technology, Life Science, Predictive Analytics, Web Development","New York, New York, United States",Allelica is a genomics software company driving the transition of Polygenic Risk Score from Genomic research to clinical application.,"51,273","Greater New York Area, East Coast, Northeastern US",,,$1M to $10M,Active,2018-01-01,month,,,,,For Profit,https://www.allelica.com/,,https://www.linkedin.com/company/allelica/,(470) 588-0420,info@allelica.com,,,,,,,,,,,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",3,"George Busby, Giordano Bottà, Paolo Di Domenico",11-50,2,Seed,2021-03-05,1750000,USD,1750000,Seed,1750000,USD,1750000,Seed,1750000,USD,1750000,1750000,USD,1750000,"Valor Ventures, Pi Campus",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1.9,8,,,,
Finapp,https://www.crunchbase.com/organization/finapp,,"Farming, Hydroelectric, Water","Padova, Veneto, Italy",Finapp is an innovative startup that produces a new generation of CRNS probes that allow measuring the water content.,"53,461","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,Active,2019-01-01,year,,,,,For Profit,https://finapptech.com/,https://www.facebook.com/lifefromcosmos,https://www.linkedin.com/company/finapptech/,,info@finapptech.com,,,,,,,,,,,,"Agriculture and Farming, Energy, Natural Resources, Sustainability",1,Luca Stevanato,11-50,4,Seed,2023-06-23,,,,Grant,200000,USD,200000,Pre-Seed,200000,USD,200000,4705748,USD,4705748,"CDP Venture Capital, EIC Accelerator, Progress Tech Transfer Fund, Crédit Agricole Italia",2,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3.6,9,2,0,Testing,
Laminar Pharma,https://www.crunchbase.com/organization/laminar-pharma,,"Biotechnology, Life Science, Pharmaceutical","Palma De Mallorca, Islas Baleares, Spain","Laminar Pharma is a biopharmaceutical company performing discovery, rational design and initial clinical development of new MLT-based drugs.","57,094","European Union (EU), Europe, Middle East, and Africa (EMEA)",07121,,$1M to $10M,Active,2006-01-01,year,,,,,For Profit,https://laminarpharma.com/,,https://www.linkedin.com/company/laminarpharma/,+34 971 43 98 86,info@laminarpharma.com,,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",1,PABLO V. ESCRIBA,11-50,2,,2023-10-05,8800000,EUR,9280919,Venture - Series Unknown,8800000,EUR,9280919,Venture - Series Unknown,10799000,EUR,11477917,10799000,EUR,11477917,"Capital Cell, OK Venture, Dentol Capital",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1.8,4,1,6,Medical Or Veterinary Science; Hygiene,"Pharmaceutical, veterinary and sanitary products"
Rent2Cash,https://www.crunchbase.com/organization/rent2cash-bb54,,"Financial Services, FinTech","Roma, Lazio, Italy",Rent2Cash is an innovative company that marks a new frontier in the intersection between finance and real estate.,"58,932","European Union (EU), Europe, Middle East, and Africa (EMEA)",00193,,,Active,2023-01-01,year,,,,,For Profit,https://www.rent2cash.it,,https://www.linkedin.com/company/rent2cash,+39066390643,info@rent2cash.it,,,,,,,,,,,,Financial Services,,,1-10,2,Seed,2024-07-02,3000000,EUR,3224423,Pre-Seed,3000000,EUR,3224423,Pre-Seed,3000000,EUR,3224423,3000000,EUR,3224423,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.3,,,,,
Pelomatto,https://www.crunchbase.com/organization/pelo-matto,,Home Services,"Milan, Lombardia, Italy","Pelo Matto, in-home pet grooming services at your convenience. Grooming, trimming, and styling in the comfort of your own home.","59,894","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,Active,2023-01-01,year,,,,,For Profit,https://www.pelomatto.it,,,,info@pelomatto.it,,,,,,,,,,,,Real Estate,2,"Ferdinando Volpe, William Selmo",1-10,3,Seed,2024-12-12,600000,EUR,628413,Seed,600000,EUR,628413,Seed,1130000,EUR,1203627,1130000,EUR,1203627,"IH1, Daniele Bruttini, Antonella Sergio, Vincent Murphy",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3.8,4,,,,
Enerbrain,https://www.crunchbase.com/organization/enerbrain,,"Energy, Energy Efficiency, Energy Management, Facility Management, Information Technology, Renewable Energy, Smart Building","Torino, Piemonte, Italy","Enerbrain turns wasteful buildings into smarter, healthier & more sustainable ones with an innovative IoT energy retrofit solution.","60,268","European Union (EU), Europe, Middle East, and Africa (EMEA)",10132,,Less than $1M,Active,2015-01-01,year,,,,,For Profit,https://www.enerbrain.com/,https://www.facebook.com/enerbrain/,https://www.linkedin.com/company/enerbrain,+39 011 0438872,info@enerbrain.com,,,,,,,,,,,,"Energy, Information Technology, Real Estate, Sustainability",5,"Alexis Susset, Filippo Ferraris, Francesca Freyria, Giuseppe Giordano, Marco Martellacci",51-100,4,Early Stage Venture,2021-08-02,5200000,EUR,6174547,Series B,5200000,EUR,6174547,Series B,6790000,EUR,7949536,6790000,EUR,7949536,"Iren SpA, Azimut Libera Impresa, GELLIFY, I3P, AcceliCITY powered by Leading Cities",,7,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.6,15,4,0,Controlling,
Brief,https://www.crunchbase.com/organization/brief-8482,,"Artificial Intelligence (AI), Big Data, Business Intelligence, Consumer Software, Database, Enterprise Software, Machine Learning, SaaS, Software, Text Analytics","Seattle, Washington, United States",Brief is a revolutionary platform that makes it effortless to navigate the intricate details found in everyday contracts and agreements.,"60,402","Greater Seattle Area, West Coast, Western US",,,Less than $1M,Active,2023-04-13,day,,,,,For Profit,https://briefme.io/,,https://www.linkedin.com/company/briefmeio/,,hello@briefme.io,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Andrew Wu, Diana Tan",1-10,2,Seed,2024-05-14,,,,Non-equity Assistance,120000,USD,120000,Pre-Seed,120000,USD,120000,120000,USD,120000,"Techstars, Washington Technology Industry Association (WTIA)",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4.5,3,,,,
TextYess,https://www.crunchbase.com/organization/textyess,,"Advertising, E-Commerce, Marketing Automation, Mobile","Milano, Lombardia, Italy",TextYess enables eCommerce brands to sell on WhatsApp through conversational AI.,"60,480","European Union (EU), Europe, Middle East, and Africa (EMEA)",20123,,,Active,2023-01-04,day,,,,,For Profit,https://www.textyess.com/,,https://www.linkedin.com/company/textyess/,,riccardo@textyess.com,,,,,,,,,,,,"Advertising, Commerce and Shopping, Mobile, Sales and Marketing, Software",2,"Edvaldo Gjonikaj, Riccardo Russo",1-10,1,Seed,2023-05-02,650000,USD,650000,Pre-Seed,650000,USD,650000,Pre-Seed,650000,USD,650000,650000,USD,650000,"Exor Ventures, Club degli Investitori, Growth Engine, Raffaele Terrone, Marco Di Pietro",,10,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.6,3,,,,
Epsilon,https://www.crunchbase.com/organization/epsilon,,"Advertising, Digital Media, Email, Marketing, Mobile, Social Media","Irving, Texas, United States","Epsilon is an all-encompassing global marketing company, a leader in creating connections between people and brands.","60,811","Dallas/Fort Worth Metroplex, Southern US",75063,,$1B to $10B,Active,1969-01-01,year,2019-04-15,day,,,For Profit,https://www.epsilon.com/us,http://www.facebook.com/epsilonmarketing,http://www.linkedin.com/company/epsilon,(800) 309-0505,,,,,,,,,,,,,"Advertising, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Sales and Marketing",3,"Georgios Stefanou, John Groman, Owais Aslam",5001-10000,,M&A,,,,,,,,,,,,,,,,,,,8,"Made Acquisitions, Was Acquired",Epsilon acquired by Publicis Groupe,https://www.crunchbase.com/acquisition/publicis-groupe-acquires-epsilon--a3d9c010,Publicis Groupe,https://www.crunchbase.com/organization/publicis-groupe,2019-04-15,day,3950000000,USD,3950000000,Acquisition,,Private,,,,,,,,,,,,,0.8,29,8,60,Computing; Calculating,Advertising; business
Quindi,https://www.crunchbase.com/organization/quindi,,"Hardware, Industrial, Internet of Things, Manufacturing, Robotics, SaaS, Software, Sustainability","Grisignano Di Zocco, Veneto, Italy",Quindi is a Smart manufacturing startup that leverages the power of AI to turn data into manufacturing decisions.,"62,622","European Union (EU), Europe, Middle East, and Africa (EMEA)",36040,,$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://www.quindi.ai/eng,,https://www.linkedin.com/company/quindi-production-copilot/,+39 049 2700349,info@quindi.ai,,,,,,,,,,,,"Hardware, Internet Services, Manufacturing, Science and Engineering, Software, Sustainability",3,"Fabio Oscari, Luca Barbazza, Simone Minto",1-10,1,Seed,2024-12-04,525000,EUR,551894,Seed,525000,EUR,551894,Seed,525000,EUR,551894,525000,EUR,551894,"Open Venture, Considi",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.4,20,0,2,,Scientific and electric apparatus and instruments
PetHub,https://www.crunchbase.com/organization/pethub,,"GPS, Internet of Things, Mobile Apps, Pet, QR Codes, Software","Wenatchee, Washington, United States","SaaS platform linking pet license & rabies tags to an online profile with option premium features (GPS, SMS alerts, pet ""Amber Alert"", etc.)","63,010","West Coast, Western US",98801,Women Founded,$1M to $10M,Active,2010-02-01,day,,,,,For Profit,https://www.pethub.com,http://www.facebook.com/PetHub,https://www.linkedin.com/company/pethub-inc.,(866)795-8440,pl@pethub.com,,,,,,,,,,,,"Apps, Community and Lifestyle, Hardware, Internet Services, Mobile, Navigation and Mapping, Software",2,"Lorien Clemens, Tom Arnold",11-50,8,Early Stage Venture,2021-02-11,400000,USD,400000,Series A,400000,USD,400000,Series A,4056071,USD,4056071,4056071,USD,4056071,"Michelson Impact Ventures, Keiretsu Forum Northwest, Bend Venture Conference, Mountaineer Capital LLC, Altivia Ventures",1,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.5,3,0,9,,"Transport, packaging and storing"
agreenet,https://www.crunchbase.com/organization/agree-net,,"Agriculture, Farming, Food and Beverage, Food Processing","Torino, Piemonte, Italy",agreenet creates innovative biobased and biodegrable materials for food preservation.,"63,491","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,Active,2022-12-06,day,,,,,For Profit,https://agreenet.it/,,https://www.linkedin.com/company/agree-net/,,info@agreenet.it,,,,,,,,,,,,"Agriculture and Farming, Food and Beverage",3,"Gustavo Gonzalez, Irene Masante, Stefano Ferioli",1-10,2,Seed,2023-11-13,560000,EUR,599273,Seed,560000,EUR,599273,Seed,560000,EUR,599273,730000,EUR,781195,"CDP Venture Capital, Eatable Adventures",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3.4,8,1,2,"Foods Or Foodstuffs; Their Treatment, Not Covered By Other Classes",Chemical substances
Baze,https://www.crunchbase.com/organization/sanalytica,,"Beauty, Fitness, Health Care, Wellness","Berlin, Berlin, Germany","Baze are enable every person to achieve their best health through a science-led, results-driven food and supplement platform.","64,643","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,$1M to $10M,Active,2014-01-01,year,2021-02-02,day,,,For Profit,https://www.baze.com/,https://www.facebook.com/bazevitamins/,https://www.linkedin.com/company/baze/,,hello@baze.com,,,,,,,,,,,,"Consumer Goods, Health Care, Sports",5,"Crina Okumus, Isam Haddad, Jan Vichr, Markus Okumus, Philipp Schulte",11-50,3,M&A,2019-08-14,6000000,USD,6000000,Series A,6000000,USD,6000000,Series A,6000000,USD,6000000,6000000,USD,6000000,"Nature's Way, Ringier Digital Ventures, Sanner Ventures, JVMO",1,4,,Was Acquired,Baze acquired by Nature's Way,https://www.crunchbase.com/acquisition/nature-s-way-acquires-sanalytica--e44f581a,Nature's Way,https://www.crunchbase.com/organization/nature-s-way,2021-02-02,day,,,,Acquisition,,Private,,,,,,,,,,,,,-0.7,76,,,,
Bloomlabs,https://www.crunchbase.com/organization/bloomlabs-4e62,,Manufacturing,"New York, New York, United States",Bloomlabs provides a method to catalyze waste value by regenerating it as adaptable and appealing bio-plastics and textile fibers.,"65,119","Greater New York Area, East Coast, Northeastern US",10001,,,Active,2023-01-01,day,,,,,For Profit,https://www.bloomlabs.bio,,https://www.linkedin.com/company/bloomlabsbio,,,,,,,,,,,,,,Manufacturing,1,Simardev Gulati,1-10,3,Seed,2024-04-21,250000,USD,250000,Convertible Note,,,,Seed,,,,250000,USD,250000,"SOSV, gener8tor, IndieBio, Meliorate Partners, Climate Tech Circle",2,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2.6,1,,,,
Osense Technology,https://www.crunchbase.com/organization/osense-technology-co-ltd,,"3D Technology, Artificial Intelligence (AI), Augmented Reality, Cloud Computing, Computer Vision, Location Based Services, Machine Learning, Software, Virtual Reality, Virtual World","Taipei, T'ai-pei, Taiwan","Osense Technology is an artificial intelligence, artificial perception, computer vision, indoor navigation, LBS, and AR & VR company","65,220",Asia-Pacific (APAC),10696,,$1M to $10M,Active,2017-03-17,day,,,,,For Profit,http://www.osensetech.com/,https://www.facebook.com/OSENSETECH/,https://www.linkedin.com/company/osense,+866-2-87717175,osense@osensetech.com,,,,,,,,,,,,"Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Hardware, Internet Services, Media and Entertainment, Navigation and Mapping, Science and Engineering, Software",3,"James Ko, Joseph Wang, York Huang",51-100,2,Seed,2019-01-01,,,,Non-equity Assistance,2000000,USD,2000000,Seed,2000000,USD,2000000,2000000,USD,2000000,Startup Island TAIWAN,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.2,330,,,,
Guardian,https://www.crunchbase.com/organization/guardian-mobile-firewall,,"Cyber Security, Information Technology, Privacy, Software","San Francisco, California, United States",Guardian protects and secures privacy and data while using apps and browsing the web on an iOS device.,"66,805","San Francisco Bay Area, West Coast, Western US",09417,,,Active,2013-01-01,year,2022-08-10,day,,,For Profit,https://guardianapp.com,https://www.facebook.com/guardianiosapp/,https://www.linkedin.com/company/guardianiosapp/,,hello@guardianapp.com,,,,,,,,,,,,"Information Technology, Privacy and Security, Software",1,Will Strafach,1-10,3,M&A,2022-01-01,,,,Seed,,,,Seed,950000,USD,950000,950000,USD,950000,"Founders, Inc., Stephen Russell",,2,,Was Acquired,Guardian acquired by DNSFilter,https://www.crunchbase.com/acquisition/dnsfilter-acquires-guardian-mobile-firewall--a58962dd,DNSFilter,https://www.crunchbase.com/organization/dnsfilter,2022-08-10,day,,,,Acquisition,,Private,,,,,,,,,,,,,2.9,3,5,5,Building,Common metals and their alloys; ores
ZeroW,https://www.crunchbase.com/organization/zerow,,"E-Commerce, Fashion, Retail, Waste Management","Scandicci, Toscana, Italy",Zerow is a retailing company for exchanging material in order to reuse and recapture the value of previously discarded items.,"68,691","European Union (EU), Europe, Middle East, and Africa (EMEA)",50018,,Less than $1M,Active,2020-04-01,month,,,,,For Profit,https://zerow.it,https://www.facebook.com/Zerow.official/,https://www.linkedin.com/company/zerow-it/,,support@zerow.it,,,,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Design, Sustainability",1,Gabriele Ronandelli,11-50,4,Seed,2025-01-29,400000,EUR,417595,Seed,400000,EUR,417595,Seed,490000,EUR,515105,490000,EUR,515105,"Startup Wise Guys, IKIGAI, Nanabianca",2,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.7,10,0,0,,Scientific and electric apparatus and instruments
ALTO Robotics,https://www.crunchbase.com/organization/alto-robotics,,Industrial,"Bergamo, Lombardia, Italy",ALTO Robotics operates as an AI-driven company offering robotics solutions.,"69,053","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,Active,2022-05-01,month,,,,,For Profit,https://altorobotics.ai,,https://www.linkedin.com/company/alto-robotics-spa,,contact@altorobotics.ai,,,,,,,,,,,,Manufacturing,2,"Jody Saglia, Sara Bellini",11-50,1,Seed,2022-05-26,3000000,EUR,3219810,Pre-Seed,3000000,EUR,3219810,Pre-Seed,3000000,EUR,3219810,3000000,EUR,3219810,Cysero,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3.7,,,,,
Wayla,https://www.crunchbase.com/organization/wayla-bc77,,"Public Transportation, Translation Service","Milan, Lombardia, Italy",Wayla provides urban van-pooling facilities to enhance transportation in cities while lowering the environmental impact.,"69,834","European Union (EU), Europe, Middle East, and Africa (EMEA)",20144,,,Active,2023-01-01,year,,,,,For Profit,https://www.wayla.it,,https://www.linkedin.com/company/wayla-italia,,fo@wayla.it,,,,,,,,,,,,"Professional Services, Transportation",4,"Alessandro Villa, Carlo Bettini, Mario Ferretti, Niccolò Ferrari",1-10,2,Seed,2025-01-24,900000,EUR,945315,Pre-Seed,900000,EUR,945315,Pre-Seed,900000,EUR,945315,900000,EUR,945315,"Moffu Labs, MobilityUP, Sullivan Ventures, Luca La Mesa, Marco Cartasegna",,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.6,,,,,
Serenade,https://www.crunchbase.com/organization/serenade,,"Apps, Information Technology, Software","San Francisco, California, United States","Serenade is a platform that enables to help write, refactor, and navigate code with voice.","70,360","San Francisco Bay Area, West Coast, Western US",,,,Active,2019-01-01,year,,,,,For Profit,https://serenade.ai/,https://www.facebook.com/serenadeai/,https://www.linkedin.com/company/serenadeai/about/,,contact@serenade.ai,,,,,,,,,,,,"Apps, Information Technology, Software",2,"Matt Wiethoff, Tommy MacWilliam",1-10,1,Seed,2020-11-23,2100000,USD,2100000,Seed,2100000,USD,2100000,Seed,2100000,USD,2100000,2100000,USD,2100000,"Neo, Amplify Partners",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0,7,,,,
Abelio,https://www.crunchbase.com/organization/abelio,,"AgTech, Apps, Artificial Intelligence (AI), Information Technology","Aix-en-provence, Provence-Alpes-Cote d'Azur, France",Abelio is an IT firm that offers daily crop monitoring solutions and AI services for agricultural industries.,"71,081","European Union (EU), Europe, Middle East, and Africa (EMEA)",13100,,,Active,2018-01-01,year,,,,,For Profit,https://abelio.io,https://fr-fr.facebook.com/abeliofarmmonitoring,https://www.linkedin.com/company/abeliofarmmonitoring/,,contact@abelio.io,,,,,,,,,,,,"Agriculture and Farming, Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,11-50,1,,2023-08-01,2000000,EUR,2201540,Venture - Series Unknown,2000000,EUR,2201540,Venture - Series Unknown,2000000,EUR,2201540,2000000,EUR,2201540,"Sowefund, CAPA",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.2,11,0,1,,Machines and machine tools
BigProfiles,https://www.crunchbase.com/organization/big-profiles,,"Artificial Intelligence (AI), B2B, Business Intelligence, SaaS","Rome, Lazio, Italy","BigProfiles is the No-Code Artificial Intelligence Platform for sales and antichurn, to forecast customers' likelihood to purchase and churn","71,332","European Union (EU), Europe, Middle East, and Africa (EMEA)",00154,,$1M to $10M,Active,2018-01-01,month,,,,,For Profit,http://bigprofiles.com,https://www.facebook.com/pg/BigProfiles,https://www.linkedin.com/company/bigprofiles,,info@bigprofiles.com,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",3,"Lorenzo Luce, Riccardo Mercanti, Roberto Visceglia",11-50,3,Early Stage Venture,2020-02-10,2300000,EUR,2509345,Series A,2300000,EUR,2509345,Series A,2900000,EUR,3222612,2980000,EUR,3309881,"Invitalia Ventures, Growth Engine, LUISS ENLABS, Fabio Mondini de Focatiis, LVenture Group",,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.6,4,1,1,Computing; Calculating,Scientific and electric apparatus and instruments
